"學年度","學校代碼","學校名稱","科系代碼","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生","縣市名稱","體系別"
112,0001,國立政治大學,04134041,公共行政學系,D 日,D 博士,16,9,7,2,0,1,1,0,1,0,0,1,2,2,1,3,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04134041,公共行政學系,D 日,M 碩士,104,40,64,6,19,12,11,11,22,11,12,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04134041,公共行政學系,D 日,B 學士,180,62,118,19,26,12,29,15,29,14,26,0,0,0,0,0,0,2,8,30 臺北市,1 一般
112,0001,國立政治大學,04134042,行政管理碩士學程領導決策現役軍人營區碩士在職專班,N 職,M 碩士,26,18,8,0,0,17,8,0,0,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04134042,行政管理碩士學程,N 職,M 碩士,266,88,178,25,55,26,53,20,45,8,14,9,11,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04134042,行政管理碩士學程現役軍人營區碩士在職專班,N 職,M 碩士,63,41,22,5,6,10,8,11,5,8,2,7,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04141067,國際經營與貿易學系,D 日,D 博士,6,3,3,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04141067,國際經營與貿易學系,D 日,M 碩士,124,54,70,24,26,19,34,8,7,3,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04141067,國際經營與貿易學系,D 日,B 學士,386,173,213,33,48,39,50,42,48,40,53,0,0,0,0,0,0,19,14,30 臺北市,1 一般
112,0001,國立政治大學,04143055,廣告學系,D 日,B 學士,238,57,181,0,0,0,0,27,69,19,80,0,0,0,0,0,0,11,32,30 臺北市,1 一般
112,0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,D 博士,32,14,18,3,2,3,1,1,2,1,8,2,2,1,1,3,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,M 碩士,162,51,111,18,36,14,36,13,26,6,13,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04211073,法律學系,D 日,B 學士,736,314,422,72,89,69,107,78,108,87,94,0,0,0,0,0,0,8,24,30 臺北市,1 一般
112,0001,國立政治大學,04211074,法律科際整合研究所,D 日,M 碩士,94,47,47,16,8,7,12,9,17,14,10,1,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04211075,法學院碩士在職專班,N 職,M 碩士,262,125,137,32,33,25,35,27,38,24,20,17,11,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04212073,法律學系,D 日,D 博士,44,29,15,4,2,4,2,3,3,9,3,4,1,4,2,1,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,04212073,法律學系,D 日,M 碩士,238,122,116,39,27,32,34,30,27,21,28,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05199083,神經科學研究所,D 日,M 碩士,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05331077,應用物理研究所,D 日,M 碩士,22,19,3,10,1,4,1,4,1,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05411078,應用數學系,D 日,D 博士,10,9,1,3,0,2,0,2,0,1,0,0,0,0,1,1,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05411078,應用數學系,D 日,M 碩士,49,37,12,9,5,10,3,10,4,8,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05411078,應用數學系,D 日,B 學士,201,142,59,32,20,34,10,30,9,30,14,0,0,0,0,0,0,16,6,30 臺北市,1 一般
112,0001,國立政治大學,05421079,統計學系,D 日,D 博士,7,5,2,1,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05421079,統計學系,D 日,M 碩士,66,43,23,15,12,20,11,6,0,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,05421079,統計學系,D 日,B 學士,235,122,113,30,22,28,32,27,25,28,30,0,0,0,0,0,0,9,4,30 臺北市,1 一般
112,0001,國立政治大學,06131080,資訊管理學系,D 日,D 博士,38,27,11,2,3,9,1,4,1,4,2,4,1,2,1,2,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06131080,資訊管理學系,D 日,M 碩士,113,50,63,19,29,23,28,7,4,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06131080,資訊管理學系,D 日,B 學士,349,176,173,33,44,46,43,45,39,43,41,0,0,0,0,0,0,9,6,30 臺北市,1 一般
112,0001,國立政治大學,06131081,資訊科學系,D 日,D 博士,11,7,4,1,0,1,1,1,1,0,2,2,0,2,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06131081,資訊科學系,D 日,M 碩士,167,119,48,26,16,58,25,30,3,5,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06131081,資訊科學系,D 日,B 學士,238,175,63,41,12,39,17,48,16,40,17,0,0,0,0,0,0,7,1,30 臺北市,1 一般
112,0001,國立政治大學,06131081,資訊科學系,N 職,M 碩士,102,79,23,17,7,22,9,20,4,12,2,8,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,14,11,3,1,0,1,0,2,1,0,2,1,0,4,0,2,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06131095,資訊安全碩士學位學程,D 日,M 碩士,9,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,06134057,數位內容碩士學位學程,D 日,M 碩士,57,13,44,4,15,2,12,6,11,1,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,09231084,社會工作研究所,D 日,D 博士,20,7,13,1,2,0,1,1,2,1,4,1,1,1,3,2,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,09231084,社會工作研究所,D 日,M 碩士,60,17,43,2,14,2,8,6,9,7,11,0,1,0,0,0,0,0,0,30 臺北市,1 一般
112,0002,國立清華大學,01111084,教育與學習科技學系,D 日,D 博士,65,22,43,4,8,3,6,3,8,4,5,3,7,3,4,2,5,0,0,18 新竹市,1 一般
112,0002,國立清華大學,01111084,教育與學習科技學系,D 日,M 碩士,120,18,102,5,35,6,28,3,22,4,10,0,4,0,3,0,0,0,0,18 新竹市,1 一般
112,0002,國立清華大學,01111084,教育與學習科技學系,D 日,B 學士,182,48,134,10,34,13,31,11,33,11,28,0,0,0,0,0,0,3,8,18 新竹市,1 一般
112,0002,國立清華大學,01111084,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,61,13,48,3,16,6,12,3,7,0,6,0,7,0,0,1,0,0,0,18 新竹市,1 一般
112,0002,國立清華大學,01111084,教育與學習科技學系課程與教學碩士在職專班,N 職,M 碩士,146,21,125,5,30,5,28,4,26,5,16,2,16,0,4,0,5,0,0,18 新竹市,1 一般
